pair1,pair2
Nurse,Doctor
Medical Records Clerk,Physician
Dental Hygienist,Dentist
Elementary Teacher,University Professor
Teaching Assistant,School Principal
School Counselor,Educational Psychologist
Library Assistant,Academic Library Director
Preschool Teacher,Education Policy Director
Paralegal,Attorney
Court Clerk,Judge
Legal Secretary,Corporate Lawyer
Legal Assistant,Law Firm Partner
Bookkeeper,Chief Financial Officer
Bank Teller,Investment Banker
Office Worker,Chief Executive Officer
Insurance Claims Processor,Actuary
Graphic Designer,Creative Director
Production Assistant,Film Producer
News Reporter,News Network Executive
Help Desk Analyst,Information Security Manager
Bakery Assistant,Pastry Chef
Sports Commentator,Sports Lawyer
Weather Enthusiast Blogger,Climate Scientist
Flight Attendant,Commercial Airline Chief Pilot
Retail Sales Associate,Technology Product Manager
Assembly Line Worker,Manufacturing Plant Executive
Restaurant Dishwasher,Executive Chef
Sports Bar Attendant,Sports Marketing Executive
Restaurant Server,Culinary Nutritionist
Elementary School Teacher,Educational Policy Analyst